Ingredient,Combination,Dry,Normal,Oily,Sensitive
Caprylic/Capric Triglyceride Dicaprylyl Carbonate Squalane Rosa Canina Fruit Oil Oenothera Biennis Oil,1,1,1,1,1
Evening Primrose Oil Simmondsia Chinensis Oil,1,1,1,1,1
Jojoba Seed Oil Coriandrum Sativum Oil,1,1,1,1,1
Coriander Seed Oil Tocopherol Lavandula Angustifolia Oil,1,1,1,1,1
Lavender Oil Pelargonium Graveolens Flower Oil Linalool Rosmarinus Officinalis Leaf Oil,1,1,1,1,1
Rosemary Leaf Oil Citronellol Geraniol Lavandula Hybrida Oil Cucumis Sativus Extract,1,1,1,1,1
Cucumber Fruit Extract Curcuma Longa Extract,1,1,1,1,1
Turmeric Root Extract Limonene Citral Sclareolide Rosa Spp,1,1,1,1,1
Rose Flower Oil Jasminum Officinale Extract,1,1,1,1,1
Jasmine Extract Helianthus Annuus Seed Oil,1,1,1,1,1
Sunflower Seed Oil.,1,1,1,1,1
Dipropylene Glycol,81,78,81,75,66
Methl Trimethicone,1,0,1,1,0
Alcohol Denat,2,0,2,2,0
Malakite Extract,1,0,1,1,0
PEG/PPG/Polybutylene Glycol-8/5/3 Glycerin,1,0,1,1,0
Alchemilla Vulgaris Leaf Extract*,2,1,2,2,1
Equisetum Arvense Leaf Extract*,3,2,3,1,0
Stellaria Media (Chickweed) Extract*,3,3,4,4,4
Urtica Dioica (Nettle) Leaf Extract*,1,0,1,1,0
Plantago Lanceolata Leaf Extract*,1,0,1,1,0
Avena Sativa (Oat) Kernel Extract**,2,1,2,1,0
Calendula Officinalis Flower Extract**,2,1,2,1,0
Nepeta Cataria Extract**,2,1,2,1,0
Rubus Idaeus (Raspberry) Leaf Extract**,2,1,2,1,0
Baptisia Tinctoria Root Extract**,2,1,2,1,0
Dimethiconol,36,37,38,31,31
Polymethylsilsesquioxane,66,65,68,62,50
Sodium Acrylate/Acryloyldimethyltaurate/Dimethylacrylamide Crosspolymer,3,2,3,3,2
Ceramide 3,11,11,13,11,9
Butyrospermum Parkii (Shea) Butter,54,55,55,46,44
Phenl Trimethicone,1,0,1,1,0
Pentaerythrityl Tetraisostearate,8,7,8,7,7
Triethylhexanoin,22,22,23,17,19
Macadamia Ternifolia Seed Oil,8,10,9,7,5
PEG-150,4,3,4,4,3
PEG-40 Hydrogenated Castor Oil,32,29,32,33,22
C14-22 Alcohols,8,7,8,5,4
Arachidyl Glucoside,12,11,12,11,8
Hydrogenated Lecithin,73,71,76,64,57
PEG-100 Stearate,48,47,50,40,36
Trisodium EDTA,12,14,15,12,11
Fragrance+,2,2,3,1,1
Linalool. *Napiers aqua formula. **Napiers original formula. +Fragrances of natural origin.,1,0,1,1,0
Persea Gratissima (Extra Virgin,1,1,1,1,1
Cold Pressed Avocado) Oil,1,1,1,1,1
Vitis Vinifera (Organic,1,1,1,1,1
Cold Pressed Concord Grape) Seed Oil,1,1,1,1,1
Rubus Fruticosus (Cold Pressed Blackberry) Seed Oil,1,2,2,1,2
Salvia Hispanica (Cold Pressed Chia) Oil,1,1,1,1,1
Dimethyl Isosorbide (and) Hydroxypinacolone Retinoate,1,1,1,1,1
Chamomilla Recutita (Matricaria) Flower Oil,4,4,4,4,4
Tanecetum annuum (Blue Tansy) oil,1,1,1,1,1
Anthemis nobilis (English Chamomile) oil,1,1,1,1,1
Eriocephalus punctulatus (Cape Chamomile) oil,1,1,1,1,1
Citrus Aurantium Amara (Neroli) Oil,1,1,1,1,1
Citrus Aurantium Dulcis (Blood Orange) oil,1,1,1,1,1
Cananga Odorata Flower (Ylang Ylang) Oil,1,1,1,1,1
Vetivera zizanoides (Vetiver) oil,1,1,1,1,1
Helianthus Annuus (Sunflower) Seed Oil (and) Rosmarinus officinalis (Rosemary) Leaf Extract,1,1,1,1,1
CI 61565 (Green 6),1,1,1,1,1
CI 60725 (Violet 2).,1,1,1,1,1
Lactic Acid,82,73,78,78,51
Jojoba Esters,35,30,34,29,20
Glycolic Acid,71,59,67,67,39
Potassium Hydroxide,59,60,62,52,44
Salix Alba (Willow) Bark Extract,24,22,23,23,22
Carthamus Tinctorius (Safflower) Oleosomes,3,3,3,2,2
Hibiscus Sabdariffa Flower Extract,8,8,8,8,7
Honey Extract,12,9,12,9,9
Echinacea Purpurea Root Extract,12,12,12,10,12
Propolis Extract,5,5,5,4,5
Royal Jelly Extract,11,11,11,6,11
Hydrolyzed Sodium Hyaluronate,9,9,9,9,9
Argania Spinosa Kernel Oil,11,11,11,9,9
Zingiber Officinale (Ginger) Root Extract,21,18,18,18,18
Amaranthus Caudatus Seed Oil,1,1,1,1,1
Limnanthes Alba (Meadowfoam) Seed Oil,26,27,26,22,27
Vaccinium Myrtillus Fruit/Leaf Extract,6,6,6,6,6
Saccharum Officinarum (Sugarcane) Extract,4,4,4,4,3
Citrus Aurantium Dulcis (Orange) Fruit Extract,26,24,25,25,21
Citrus Limon (Lemon) Fruit Extract,22,21,21,21,19
Acer Saccharum (Sugar Maple) Extract,18,17,18,17,16
Melia Azadirachta Leaf Extract,25,23,24,21,25
Helianthus Annuus (Sunflower) Seed Oil,81,80,81,75,65
Melia Azadirachta Flower Extract,23,22,23,20,23
Salvia Hispanica Seed Oil,3,5,3,3,3
Arachidyl Alcohol,12,12,12,11,9
Sclerotium Gum,28,24,27,26,21
Coco-Glucoside,13,11,13,13,11
Polyacrylate Crosspolymer-6,25,21,25,22,19
Corallina Officinalis Extract,27,25,27,24,26
Polyglyceryl-10 Stearate,12,12,13,12,9
Gluconolactone,14,14,14,11,10
Ocimum Basilicum (Basil) Flower/Leaf Extract,7,6,7,7,6
Ocimum Sanctum Leaf Extract,21,20,21,18,20
T-Butyl Alcohol,11,8,9,10,8
Beste™ No.9 Jelly Cleanser: Water,1,1,1,1,0
Sodium Lauroyl Methyl Isethionate,5,4,5,5,4
Cocamidopropyl Betaine,32,26,31,30,18
Cocamidopropyl Hydroxysultaine,13,10,13,13,9
Sodium Methyl Oleoyl Taurate,3,2,3,3,2
Lauryl Glucoside,15,14,15,13,10
Cucumis Melo Cantalupensis Fruit Extract,4,3,4,4,1
Dipotassium Glycyrrhizate,69,69,70,64,50
Sodium Chloride. C-Firma™ Day Serum: Water,1,1,1,1,0
Ethoxydiglycol,15,15,15,14,11
Laureth-23,9,7,7,8,3
Lactobacillus/Pumpkin Ferment Extract,9,8,9,8,4
Ferulic Acid,16,16,16,15,12
Chondrus Crispus Extract,25,25,25,21,17
Lactobacillus/Punica Granatum Fruit Ferment Extract,8,7,8,8,4
Glycyrrhiza Glabra (Licorice) Root Extract,72,65,72,71,62
Vitis Vinifera (Grape) Juice Extract,12,12,12,11,5
Phyllanthus Emblica Fruit Extract,7,7,7,7,5
Hydrolyzed Wheat Protein,19,18,19,16,15
Acetyl Glucosamine,33,33,34,31,24
Hydrolyzed Quinoa,5,5,5,5,3
Glutamylamidoethyl Imidazole,5,5,5,5,1
Tetrahydrodiferuloylmethane,9,9,9,8,7
Tetrahydrodemethoxydiferuloylmethane,7,7,7,6,5
Tetrahydrobisdemethoxydiferuloylmethane,7,7,7,6,5
Maltodextrin,63,57,64,56,47
Xanthan gum,3,3,3,3,1
Polysorbate 60. B-Hydra™ Intensive Hydration Serum: Water,1,1,1,1,0
Ammonium Acryloyldimethyltaurate/VP Copolymer,28,28,28,25,16
Wheat Amino Acids,3,3,3,3,1
Ananas Sativus (Pineapple) Fruit Extract,12,12,12,12,9
Berberis Vulgaris Root Extract,2,2,2,2,0
Citrullus Lanatus (Watermelon) Fruit Extract,11,10,11,11,8
Lens Esculenta (Lentil) Fruit Extract,12,11,12,12,9
Pyrus Malus (Apple) Fruit Extract,38,37,40,39,25
Cyclodextrin,9,9,9,9,5
Hydroxyproline,7,9,10,6,4
Ethylhexylglycerin. T.L.C. Framboos™ Glycolic Night Serum: Water,1,1,1,1,0
Salicylic Acid,59,50,57,57,36
Aloe Barbadensis Leaf Juice,62,58,62,60,52
Opuntia Ficus-Indica Extract,6,6,6,5,3
Aesculus Hippocastanum (Horse Chestnut) Seed Extract,11,9,9,11,6
Rubus Idaeus (Raspberry) Fruit Extract,8,8,9,8,5
Saccharomyces Cerevisiae Extract,12,13,13,12,8
Buddleja Davidii Meristem Cell Culture,3,3,3,3,1
Allantoin,107,102,105,101,85
Hydroxyethylcellulose,49,48,49,44,35
Galactoarabinan,11,11,11,10,9
Disodium EDTA,184,173,182,166,144
Hexylene Glycol,104,93,97,102,69
Sodium Nitrate,5,5,5,5,3
Sodium Benzoate. Virgin Marula Luxury Facial Oil: Sclerocarya Birrea Seed OilLala Retro™Whipped CreamWater,1,1,1,1,0
Ethylhexylglycerin. Umbra™ Sheer Physical Daily Defense SPF 30: Zinc Oxide 20%,1,1,1,1,0
Steareth-2,14,13,14,13,12
Polyhydroxystearic Acid,30,30,30,28,27
Silica,158,150,153,146,118
Haematococcus Pluvialis Extract,7,7,7,7,6
Helianthus Annuus (Sunflower) Sprout Extract,4,4,4,4,3
Simmondsia Chinensis (Jojoba) Seed Oil,41,40,42,39,34
Raspberry Seed Oil/Tocopheryl Succinate Aminopropanediol Esters,4,4,4,4,3
Sea Water,15,14,15,13,10
Sodium Stearoyl Glutamate,10,9,10,7,9
Titanium Dioxide (CI 77891),33,30,33,30,23
Iron Oxides (CI 77491). Shaba Complex™ Eye Serum: Water,1,1,1,1,0
Boron Nitride,15,15,15,15,13
Saccharomyces/Xylinum/Black Tea Ferment,2,2,2,2,1
Copper Tripeptide-1,8,8,9,8,8
Leontopodium Alpinum Meristem Cell Culture,3,3,3,3,2
Dipeptide-2,10,9,9,10,7
Copper Lysinate/Prolinate,7,7,7,7,3
Hesperidin Methyl Chalcone,10,9,9,10,7
Chondrus Crispus (Carrageenan),8,8,8,8,5
Mangifera Indica (Mango) Seed Butter,12,11,12,12,8
Glycine Soja (Soybean) Oil,23,23,23,21,18
Hippophae Rhamnoides Oil,8,8,8,8,7
Ubiquinone,20,20,21,17,19
Thioctic Acid,11,11,11,10,8
Methylglucoside Phosphate,7,7,7,7,3
C12-15 Alkyl Benzoate,54,51,53,48,42
Butyrospermum Parkii Butter,8,8,8,8,7
Chrysanthemum Parthenium Extract,7,7,7,7,7
Glycyrrhiza Glabra Root Extract,6,6,6,6,6
Phenoxyethanol.,57,55,57,53,46
Trisiloxane,12,11,13,11,9
Ammonium Acryloyldimethyltaurate/Vp Copolymer,34,30,32,27,20
