Ingredient,Combination,Dry,Normal,Oily,Sensitive
Phenoxyethanol. May Contain: Titanium Dioxide,0,0,0,0,0
Iron Oxides.,8,9,9,7,6
Cyclomethicone,10,9,10,10,8
Cetyl Octanoate,0,0,0,0,0
Dimethicone Copolyol,0,0,0,0,0
Disteardimonium Hectorite,28,25,27,26,21
Hydrogenated C6-14 Olefin Polymers,0,0,0,0,0
Mortierella Oil,0,0,0,0,0
Phytosteryl Macadamiate,4,6,6,4,3
Stearyl Glycyrrhetinate,6,5,5,4,5
Arginine HCI,0,0,0,0,0
PEG-60 Hydrogenated Castor Oil,28,27,27,26,26
Sodium Glutamate,1,1,1,1,1
Disodium Adenosine Triphosphate,2,1,2,2,1
Sodium Acetylated Hyaluronate,5,8,7,5,4
Rosa Roxburghii Extract,0,0,0,0,0
Octyl Methoxycinnamate,0,0,0,0,0
Sodium Hexametaphosphate,1,1,0,0,0
Butylparaben,4,3,4,4,1
Camellia Oleifera Seed Oil,3,3,3,1,1
Ethylhexyl Palmitate,32,30,32,29,25
Mirabilis Jalapa Extract,2,2,2,0,0
Oxidized Corn Oil,2,2,2,0,0
Cera Alba (Beeswax),6,6,6,4,4
Kigelia,2,2,2,0,0
Africana Fruit Extract,2,2,2,0,0
Saccharomyces Ferment Filtrate,10,10,10,8,7
Rubus Fruticosus (Blackberry) Leaf Extract,6,6,6,3,2
Litichi Chinensis Seed Extract,2,2,2,0,0
Adenosine,83,85,84,78,68
Ceteareth-12,4,4,4,1,1
Sodium Polyacrylate Starch,7,7,7,5,3
Sodium Polyacrylate,29,27,30,25,21
Sorbitan Laurate,10,9,10,7,4
Tetrasodium Edta,16,11,16,11,6
Acetyl Dipeptide-1 Cetyl Ester,10,10,10,6,7
Ci 77891 (Titanium Dioxide),8,7,7,4,5
Hydrogenated Polydecene,27,28,29,20,21
Bis-PEG-18 Methyl Ether Dimethyl Silane,4,5,5,4,4
PEG-40 Stearate,6,7,7,5,2
Saccharomyces/Viscum Album (Mistletoe) Ferment Extract,1,2,2,1,1
Lactobacillus/Soybean Ferment Extract,5,6,6,6,5
Saccharomyces/Imperata Cylindrica Root Ferment Extract,1,2,2,1,1
Ceteayl Olivate,0,1,1,0,0
Sorbitan Stearate,13,11,14,9,7
Poncirus Trifoliata Fruit Extract,1,2,2,0,0
*Avena Sativa (Oat) Kernel Extract,0,1,1,0,0
*Calendula Officinalis Flower Extract,0,1,1,0,0
*Nepeta Cataria Extract,0,1,1,0,0
*Rubus Idaeus (Raspberry) Leaf Extract,0,1,1,0,0
*Baptisia Tinctoria Root Extract,0,1,1,0,0
*Stellaria Media (Chickweed) Extract,0,1,1,0,0
**Alchemilla Vulgaris Leaf Extract,0,1,1,0,0
**Viola Tricolor Extract,0,1,1,0,0
**Rosa Damascena Flower Extract,0,1,1,0,0
**Spiraea Ulmaria Flower Extract,0,1,1,0,0
**Althaea Officinalis Root Extract,0,1,1,0,0
Symphytum Officinale Leaf Extract,2,3,3,2,2
Trifolium Pratense (Clover) Flower Extract,1,2,2,1,1
Achillea Millefolium Flower Extract,1,2,2,1,1
Euphrasia Officinalis Extract,3,4,4,3,2
Thuja Occidentalis Leaf Extract,1,2,2,1,1
Menyanthes Trifoliata Leaf Extract,2,3,3,2,2
Chelidonium Majus Extract,0,1,1,0,0
Hydroxyethylpiperazine Ethane Sulfonic Acid,4,5,5,4,4
Glycosyl Trehalose,5,6,6,4,5
Hydrogenated Starch Hydrolysate,9,9,10,8,9
***Frgrance,0,1,1,0,0
Citronnellol,0,1,1,0,0
Limonene. *Napiers Original Formula. **Napiers Moisture Formula. ***Fragrances of Natural Origin.,0,1,1,0,0
Homosalate,4,2,2,4,2
Ethylhexyl Salicylate,10,8,8,10,8
Butyl Methoxydibenzoylmethane,8,6,6,8,6
Octocrylene,5,3,3,5,3
Avena Sativa (Oat) Kernel Extract,28,27,27,26,23
Potassium Cetyl Phosphate,21,19,20,20,18
Hydrolyzed Viola Tricolor Extract,0,0,0,0,0
Rosa Canina Fruit Oil,14,15,14,14,14
Michelia Alba Leaf Oil,0,0,0,0,0
PEG-8,13,12,13,11,11
Ascorbyl Palmitate,41,41,40,39,36
Plumeria Rubra Flower Extract,4,4,4,4,4
Nicotiana Sylvestris Leaf Cell Culture,2,2,2,2,2
PEG-4,2,2,2,2,2
Citrus Aurantium Dulcis (Orange) Oil**,2,2,2,2,2
Lavandula Angustifolia (Lavender) Oil**,2,2,2,2,2
Pogostemon Cablin (Patchouli) Oil**,4,4,4,4,4
Citrus Nobilis (Mandarin Orange) Peel Oil**,4,4,4,4,4
Pelargonium Graveolens Flower Oil**,5,5,5,5,5
Boswellia Carterii (Olibanum) Oil***,2,2,2,2,2
Ganoderma Lucidum (Reishi Mushroom) Extract,6,6,6,6,6
Fuscoporia Obliqua Sclerotium Extract,4,4,4,4,4
Cordyceps Sinensis (Mushroom) Extract,4,4,4,4,4
Ergothioneine,12,12,12,12,9
Camelina Sativa Seed Oil,12,12,12,12,9
Lactobacillus Ferment,31,29,30,31,24
Hippophae Rhamnoides Extract*,4,4,4,4,4
Zingiber Officinale (Ginger) Root Extract*,4,4,4,4,4
Curcuma Longa (Turmeric) Root Extract*,4,4,4,4,4
Ocimum Sanctum (Holy Basil) Leaf Extract,4,4,4,4,4
Helianthus Annuus (Sunflower) Seed Oil*,14,14,14,11,14
Silybum Marianum Fruit Extract,5,5,5,5,4
Centella Asiatica (Hydrocotyl) Extract,2,2,2,2,2
Hypnea Musciformis (Algae) Extract,17,15,17,17,12
Sucrose*,3,3,3,3,3
Salvia Sclarea (Clary) Extract,3,3,3,3,3
Gellidiella Acerosa Extract,5,5,5,5,4
Trideceth-9,5,5,5,5,3
Glycereth-26,40,35,38,36,34
Mineral Oil/Paraffinum Liquidum/Huile Minerale,2,2,0,0,0
Sesamum Indicum (Sesame) Oil,2,2,0,0,0
Hordeum Vulgare (Barley) Extract/Extrait D'Orge,23,20,19,20,14
Propylene Glycol Dicaprate,15,12,11,13,7
Trisodium Edta,24,25,24,21,15
Yellow 6 (Ci 15985),7,7,4,5,4
Red 33 (Ci 17200),7,8,6,6,2
Nylon-12,22,21,23,23,18
Phytosteryl/Octyldodecyl Lauroyl Glutamate,7,7,7,7,7
PEG-20 Sorbitan Cocoate,1,1,1,1,1
Inositol,31,26,30,27,22
PEG-11 Methyl Ether Dimethicone,2,2,2,2,2
Aminomethyl Propanol,28,24,27,26,20
Undecylenoyl Phenylalanine,2,2,2,2,2
Hydrolyzed Prunus Domestica,2,2,2,2,2
Hexyldecanol,3,3,3,3,3
Citrus Reticulata Peel Extract/Citrus Reticulata (Tangerine) Peel Extract,1,1,1,1,1
Ascorbyl Glucoside,46,44,46,44,41
Prunus Mume Fruit Extract,4,4,4,3,4
Ci 77891 (Titanium Dioxide).,1,1,1,1,1
Saccha-romyces Ferment Filtrate,0,0,0,0,0
Ca-mellia Sinensis Leaf Extract,0,0,0,0,0
PentyleneGlycol,0,0,0,0,0
Polyglycerin-3,12,11,12,12,12
Kigelia AfricanaFruit Extract,0,0,0,0,0
Citrus Unshiu Peel Extract,4,4,4,4,3
To-copheryl Acetate,0,0,0,0,0
ButyleneGlycol,0,0,0,0,0
PEG-60 Hydrogenat-ed Castor Oil,0,0,0,0,0
Hy-droxyethylcellulose,0,0,0,0,0
Cetyl Ethylhexanoate,22,23,23,21,16
Oryza Sativa (Rice) Bran Oil,6,6,7,6,5
Polyglyceryl-10 Dioleate,1,1,1,1,1
Polyglyceryl-2 Sesquicaprylate,1,1,1,1,1
Camellia Japonica Seed Oil,9,10,10,5,10
Glyceryl Behenate/Eicosadioate,3,3,3,3,3
Fragrance (Natural),3,3,3,3,3
Visit the OLEHENRIKSEN boutique,2,2,2,2,2
Organic Argania Spinosa (Argan) Kernel Oil*. *Organic. **Natural.,0,1,0,1,1
Titanium Dioxide [Nano],1,1,1,1,0
Zinc Oxide,13,13,13,12,8
Bis-Diglyceryl Polyacyladipate-2,7,6,7,7,4
Triethyl Citrate,8,8,9,8,6
Ethyl Hexanediol,3,3,3,2,2
Canadian Colloidal Clay,5,5,5,5,2
Moroccan Lava Clay,3,3,3,3,2
Avena Sativa Kernel Extract,2,2,2,2,1
Oat Kernel Extract,1,1,1,1,0
Curcuma Longa Root Extract,1,1,1,1,0
Turmeric Root Extract,3,3,3,3,2
Sulfur,4,4,4,4,3
Persea Gratissima Fruit Extract,1,1,1,1,0
Avocado Fruit Extract,1,1,1,1,0
Vitis Vinifera Seed Extract,1,1,1,1,0
Grape Seed Extract,2,2,2,2,1
Salix Alba Bark Extract,1,1,1,1,0
Willow Bark Extract,2,2,2,2,0
Pentaerythrityl Tetra-Di-T-Butyl Hydroxyhydrocinnamate,9,9,8,8,7
Glycine Soja Sprout Extract,1,1,1,1,0
Soybean Sprout Extract,1,1,1,1,0
Serica Extract,1,1,1,1,0
Silk Extract,1,1,1,1,0
Perfluoromethylcyclopentane,1,1,1,1,0
Melaleuca Alternifolia Flower/Leaf/Stem Extract - Tea Tree Flower/Leaf/Stem Extract,1,1,1,1,0
Punica Granatum Fruit Juice,3,3,3,3,2
Charcoal Powder,20,16,20,20,15
Lactobacillus/Honeysuckle Flower/Licorice Root/Morus Alba Root/Pueraria Lobata Root/Schisandra Chinensis Fruit/Scutellaria Baicalensis Root/Sophora Japonica Flower Extract Ferment Filtrate,1,1,1,1,0
Chlorhexidine Digluconate,12,12,12,12,11
[+/- May Contain: Ci 77491,1,1,1,1,0
Ci 77492,19,18,19,18,13
Ci 77499,2,2,2,2,1
Iron Oxides,16,14,16,13,14
Titanium Dioxide].,1,1,1,1,0
Glyceryl Polyacrylate,12,11,12,12,9
Euterpe Oleracea (Açaí) Fruit Extract,0,0,0,0,0
Vaccinium Angustifolium (Blueberry) Fruit Extract,8,7,8,8,6
Lycium Barbarum (Goji) Fruit Extract,0,0,0,0,0
Sambucus Nigra (Elder Berry) Fruit Extract,0,0,0,0,0
Tamarindus Indica Seed Polysaccharide,2,2,2,2,2
Vanilla Planifolia Fruit Extract,7,6,7,7,7
Citrus Paradisi (Grapefruit) Peel Oil,5,5,5,5,4
Red 33,1,1,1,1,1
Red 4,4,6,4,4,5
Blue 1,1,1,1,1,1
Titanium Dioxide.,1,1,1,1,1
Oenothera Biennis (Evening Primrose) Root Extract,2,2,2,2,2
Prunus Armeniaca (Apricot) Fruit Extract,5,4,5,5,3
Beta-Glucan,25,24,25,20,21
Chenopodium Quinoa Seed Extract,16,14,16,14,14
Zinc Sulfate,14,11,12,12,10
Manganese Sulfate,10,9,10,8,9
Potassium Alginate,1,1,1,1,1
Ammonium Acryloyldimethyltaurate,3,2,3,3,3
VP Copolymer,3,2,3,3,3
Vinyl Dimethicone Crosspolymer,3,3,3,2,2
Stearyl Behenate,6,6,6,3,6
Polyglyceryl-3 Methylglucose Distearate,9,8,9,5,8
Hydroxypropyl Bispalmitamide MEA,2,2,2,2,2
Inulin Lauryl Carbamate,7,7,7,5,6
Blue 1 (Ci 42090).,3,3,3,3,3
BIS-PEG-18 Methyl Ether Dimethyl Silane,1,2,2,0,2
Dicaprylyl Ether,8,8,8,9,9
Sucrose Polystearate,2,3,3,1,2
Phytosphingosine,23,22,24,21,19
Glyceryl Undecylenate,4,5,5,4,3
Polyacrylate-13,15,15,16,14,15
Polyisobutene,19,19,20,17,18
Propylene Glycol,64,60,64,56,55
Acrylates,1,2,2,1,2
C10-30 Alkyl Acrylate Crosspolymer,1,2,2,1,2
PEG-5 Rapeseed Sterol,1,1,2,1,2
Hydroxyethyl Acrylate,5,5,6,4,6
Sodium Acryloyldimethyl Taurate Copolymer,6,6,7,4,6
Hydrogenated Polyisobutene,29,30,30,26,25
#NAME?,2,2,2,2,1
Squalane (Olive Origin),2,2,2,1,2
Inositol (Rice Extract),3,3,3,2,3
Sericin (Silk Extract),2,2,2,1,2
Glycyrrhiza glabra (Licorice) Root Extract,1,1,1,0,1
Oryza Sativa (Rice) Germ Oil,6,7,6,2,6
Chondrus Crispus (Red algae) Extract,1,1,1,0,1
Panax Ginseng Root Extract,24,22,23,17,21
Zizyphus Jujuba Fruit Extract,2,2,2,1,2
Thymus Serpillum (Thyme) Extract,2,2,2,1,2
Scutellaria Baicalensis Root Extract,34,34,36,33,26
Polyglyceryl-2 diisostearate,1,1,1,0,1
Ppg-5-Ceteth-10 Phosphate,2,2,2,0,2
Trideceth-12,2,2,2,0,2
Sodiumlauroyl Lactylate,1,1,1,0,1
Sd Alcohol 40-B (Alcohol Denat.),2,3,3,2,2
Isododecane,40,37,38,39,29
Beheneth-20,6,7,7,6,5
Fragrance (Parfum),23,24,24,23,12
Peg/Ppg-17/4 Dimethyl Ether,4,6,6,4,4
Butylphenyl Methylpropional,28,28,29,25,19
Sodium Metaphosphate,12,14,14,11,8
Sapindus Mukurossi Peel Extract (Sapindus Mukurossi),1,2,2,1,1
Alpha-Isomethyl Ionone,24,25,25,24,17
Benzyl Benzoate,30,29,32,28,21
Hexyl Cinnamal,34,33,35,33,27
Uncaria Gambir Extract (Uncaria Gambir),1,2,2,1,1
Iron Oxides (Ci 77491),26,25,26,26,17
Hypericum Erectum Extract,0,1,1,0,0
Chlorella Vulgaris Extract.,0,1,1,0,0
Laminaria Saccharina Extract,25,22,23,27,15
Polygonum Cuspidatum Root Extract,9,8,8,10,9
Chamomilla Recutita (Matricaria),2,0,0,2,0
Laureth-4,9,6,6,9,5
Hydroxyacetophenone,39,39,39,37,33
Bakuchiol,8,8,8,7,4
Leontopodium Alpinum Callus Culture Extract,2,2,2,2,0
Peg-75 Stearate,3,3,3,3,2
Ceteth-20,6,5,6,6,5
Enteromorpha Compressa Extract,6,7,6,6,6
Santalum Album (Sandalwood) Extract,4,4,4,4,1
Chamomilla Recutita (Matricaria) Flower Extract,24,21,23,24,20
Saccharum Officinarum (Sugar Cane) Extract,21,20,21,20,18
Leuconostoc/Radish Root Ferment Filtrate,56,51,55,55,45
Sodium Phytate,30,31,31,29,24
Violet 2 (Ci 60730),2,2,2,2,0
Silybum Marianum (Milk Thistle) Seed Oil,1,1,1,1,1
Nigella Sativa (Black Cumin) Seed Oil,2,1,2,2,2
Cucumis Sativus (Cucumber) Seed Oil,2,2,2,2,1
Diisopropyl Sebacate,6,6,6,5,4
Punica Granatum (Pomegranate) Seed Oil,1,1,1,1,1
Vaccinium Macrocarpon (Cranberry) Seed Oil,5,5,5,5,5
Dimethyl Isosorbide,17,16,17,16,11
Linum Usitatissimum (Flax) Seed Oil,1,1,1,1,1
Caprylic/Capric Triglycerides,1,1,1,1,1
Ethyl Linoleate,6,5,6,4,4
Hexylresorcinol,6,5,6,4,5
Prunus Armeniaca (Apricot) Kernel Oil,8,8,8,8,7
Chamomilla Recutita Flower Oil,1,1,1,1,1
Citrus Aurantium Amara (Neroli) Flower Oil,1,1,1,1,1
Melaleuca Alternifolia (Tea Tree) Leaf Oil,20,14,19,20,16
Helianthus Annuus Seed Oil,3,3,3,3,3
Rosmarinus Officinalis (Rosemary) Leaf Extract,39,39,41,37,36
Citrus Paradisii (Grapefruit) Peel Oil,1,1,1,1,1
Melia Azadirachta (Neem) Leaf Extract,1,1,1,1,1
Melia Azadirachta (Neem) Flower Extract,1,1,1,1,1
Coccinia Indica Fruit Extract,16,15,16,14,16
Amino Esters-1,8,7,8,8,8
Amber Leaf Extract,1,1,1,1,1
Solanum Melongena (Eggplant) Fruit Extract,13,12,13,12,13
Aloe Barbadensis Flower Extract,11,10,11,10,11
Lawsonia Inermis (Henna) Extract,6,5,6,6,6
Ocimum Basilicum (Basil) Leaf Extract,1,1,1,1,1
Pearl Powder,6,6,6,5,6
Moringa Pterygosperma Seed Oil.,1,1,1,1,1
Caulerpa Lentillifera (Seaweed) Extract,3,3,3,3,3
Simethicone,11,10,11,11,6
Citrullus Lanatus (Watermelon) Fruit,4,3,4,4,3
Cucurbita Pepo (Pumpkin) Fruit Extract,3,3,3,3,3
Punica Granatum (Pomegranate) Fruit Extract,4,4,4,4,4
Musa Sapientum (Banana) Fruit Extract,5,5,5,5,5
Paeonia Suffruticosa (Peony) Root Extract,6,5,6,6,4
Brassica Oleracea Capitata (Cabbage) Leaf Extract,6,5,6,6,5
Ipomoea Batatas (Sweet Potato) Root Extract,4,3,4,4,3
Beta Glucan,2,2,2,2,2
Aloe Barbadensis (Aloe Vera) Leaf Juice,3,3,3,3,1
Isoamyl Laurate,8,8,8,7,7
Rosa Damascena (Rose) Flower Water,3,3,3,3,1
Glyceryl Stearate Citrate,9,8,9,9,6
Populus Tremuloides (Aspen) Bark Extract,2,2,2,2,1
Aleurites Moluccana (Kukui) Nut Oil,2,1,2,2,1
Myrothamnus Flabellifolia Extract,1,1,1,1,1
Cocos Nucifera (Coconut) Extract,1,1,1,1,1
Butyrospermum Parkii (Shea) Nut Butter,1,1,1,1,1
Oryza Sativa (Rice) Seed Extract,1,1,1,1,1
Camellia Sinensis (White Tea) Leaf Extract,8,6,7,8,6
Rosa Damascena (Rose) Flower Oil,2,2,2,2,2
Sodium Anisate.,1,1,1,1,1
Neopentyl Glycol Diheptanoate,16,14,14,14,11
Passiflora Edulis (Passion Fruit) Seed Oil,0,0,0,0,0
Jojoba Oil/Macadamia Seed Oil Esters,0,0,0,0,0
Squalene,5,5,5,5,5
Cocos Nucifera (Coconut) Oil,19,19,19,17,13
Phytosterols,4,4,4,4,3
Gardenia Taitensis Flower,1,1,1,1,1
Iron Oxides (CI 77491),8,8,8,8,8
Carmine (CI 75470).,1,0,1,1,1
Hydrolyzed Jojoba Esters,11,9,11,9,5
Tamarindus Indica(Tamarind) Seed Gum,1,1,1,0,1
Ethyl Macadamiate,3,3,3,2,3
Sodium Acrylates Copolymer (and) Lecithin,1,1,1,0,1
Adipic Acid/Neopentyl Glycol Crosspolymer,4,4,4,3,3
Lauryl Dimethicone,3,3,3,2,3
Strelitzia Nicolai (Bird of Paradise flower) Seed Aril Extract,1,1,1,0,1
Alpha-Arbutin,2,2,2,1,2
Aesculus Hippocastanum (Horse Chestnut) seed extract,1,1,1,0,1
Papain (and) Carbomer 1 (and) 2-Hexanediol (and) Caprylyl Glycol (and) Algin,1,1,1,0,1
Cucumis Sativus (Cucumber) Extract,2,2,2,1,2
Melia Azadirachta (Neem) Leaf Extract (and) Melia Azadirachta Flower (Neem) Extract (and) Mimosa Terniflora Extract (and) Amber Extract (and) Coccinia Indica Fruit Extract (and) Solanum Melongena (Eggplant) Fruit Extract,1,1,1,0,1
Aloe Barbadensis Flower Extract (and) Lawsonia Inermis Extract (and) Ocimum Sanctum Leaf (Holy Basil) Extract,1,1,1,0,1
Synthetic Fluorphlogopite,23,23,23,21,18
Chlorphenesin.,5,4,4,4,4
Alcohol*,6,3,6,5,5
Citrus Aurantium Amara (Bitter Orange) Flower Water*,3,2,3,3,3
Parfum (Fragrance)*,1,0,1,1,1
Rosmarinus Officinalis (Rosemary) Leaf Oil*,2,0,2,2,2
Potassium Alum,1,0,1,1,1
Glycerin*,24,21,24,20,23
Mentha Piperita (Peppermint) Oil*,2,0,2,2,2
Styrax Tonkinensis Resin Extract*,1,0,1,1,1
Commiphora Myrrha Resin Extract*,1,0,1,1,1
Melissa Officinalis (Balm Mint) Leaf Oil*,1,0,1,1,1
Rosa Damascena Flower Oil*,11,10,12,11,9
Vitis Vinifera (Grape) Fruit Extract*,2,1,2,2,2
Tocopherol*,16,14,16,14,16
Citral*,2,0,2,2,2
Limonene*,2,1,2,2,2
Linalool*,2,0,2,2,2
Citronellol*,2,0,2,2,2
Geraniol*,2,0,2,2,2
Farnesol*,1,0,1,1,1
Benzyl Benzoate*,1,0,1,1,1
Eugenol*. *Plant origin.,1,0,1,1,1
Vitis Vinifera (Grape) Fruit Water*,5,5,5,4,5
Vitis Vinifera (Grape) Juice*,5,5,5,4,5
Nitrogen. *Plant origin.,1,1,1,1,1
Purified Water,3,3,3,3,2
Helianthus Annuus (Sunflower) Oil,1,1,1,1,1
Octyl Palmitate,1,1,1,1,1
Rhodiola Rosea,1,1,1,1,1
Ocimum Tenuiflorum (Holy Basil),1,1,1,1,1
Withania Somnifera (Ashwagandha),1,1,1,1,1
Ganoderma Lucidum (Reishi Mushroom),1,1,1,1,1
Glyceryl Mono Laurate,1,1,1,1,1
Squalane (Olive),1,1,1,1,1
Simmondsia Chineses (Jojoba) Seed Oil,1,1,1,1,1
Pentapeptide-59,1,1,1,1,1
Phenethyl Alcohol,5,5,5,5,5
Mixed Tocopherols,1,1,1,1,1
Prunus Amygdalus Dulcis (Sweet Almond) Oil,14,14,14,14,13
Borago Officinalis (Borage) Oil,2,2,2,2,2
Caramel Color,2,1,1,2,1
Xanthan Gum.,15,14,15,12,14
Polydecene,2,2,2,2,2
Brassica Campestris (Rapeseed) Seed Oil,2,2,2,2,2
Oxycoccus Palustris (Cranberry) Seed Oil,2,2,2,2,2
Olea Europaea (Olive) Fruit Oil,31,28,31,31,27
Laminaria Ochroleuca Extract,4,4,4,3,3
Sigesbeckia Orientalis (St. Paul'S Wort) Extract,18,17,19,18,17
Magnolia Officinalis Bark Extract,7,7,7,7,6
Yeast Extract/Faex/Extrait De Levure,20,19,20,20,14
Commiphora Mukul Resin Extract,10,10,10,9,7
Molasses Extract/Saccharum Officinarum/Extrait De Melasse,9,9,9,9,9
Amyl Cinnamal,11,9,11,11,8
Coumarin,19,20,19,18,15
Rosa Damascena Flower Extract,4,4,4,4,4
Caprylic/Capric Triglycerides.,1,1,1,1,1
PEG-10 Dimethicone,5,4,5,5,4
Cetyl PEG/PPG-10/1 Dimethicone,6,5,6,4,4
Alumina,23,20,23,21,15
Diamond Powder,9,9,9,9,6
Visit the Shiseido boutique,1,1,1,1,0
Methyl Trimethicone,19,16,16,17,14
Citrus Limon (Lemon) Peel Oil*,16,14,17,16,9
Citrus Grandis (Grapefruit) Peel Oil*,8,6,8,8,2
Mentha Viridis (Spearmint) Leaf Oil*,10,9,11,11,5
Simmondsia Chinensis (Jojoba) Butter,1,1,1,1,1
Castanea Sativa (Chestnut) Seed Extract,8,8,9,9,5
Rubus Idaeus (Raspberry) Leaf Wax,2,2,2,2,2
Coleus Barbatus Extract,3,3,3,3,3
Hordeum Vulgare (Barley) Extract\Extrait D'Orge,2,2,2,2,1
Triticum Vulgare (Wheat) Germ Extract,17,16,17,16,13
Panax Ginseng (Ginseng) Root Extract,6,5,6,6,3
Foeniculum Vulgare (Fennel) Seed Extract,2,2,2,2,2
Phospholipids,34,33,34,35,22
Pantethine,5,6,5,5,3
Calcium Carbonate,5,5,5,5,4
Phenoxyethanol. *Essential Oil.,3,3,3,3,3
Micro Essence Skin Act Treat Lot Division: El (Estee Lauder)Ingredients: Water,0,0,0,0,0
Bifida Ferment Lysate,13,13,13,11,10
Peg-75,5,5,5,5,3
Anthemis Nobilis (Chamomile),4,4,4,4,3
Ppg-5-Ceteth-20,3,4,4,3,4
Hamamelis Virginiana (Witch Hazel) Water,20,14,16,20,10
PEG-7 Caprylic/Capric Glycerides,1,1,1,1,1
Xylitol,28,26,28,24,20
Citrus Aurantium Dulcis (Orange) Oil,6,6,6,6,6
Lavandula Angustifolia (Lavender) Oil,45,37,43,41,31
Cedrus Atlantica Bark Oil,1,1,1,1,1
Pelargonium Graveolens Flower Oil,22,20,22,19,21
Carica Papaya (Papaya) Fruit Water,1,1,1,1,1
Jasminum Officinale (Jasmine) Oil,4,3,4,4,3
Illicium Verum (Anise) Fruit/Seed Oil,1,1,1,1,1
Artemisia Absinthium Extract,10,10,10,10,10
Rose Flower Oil,2,2,2,2,2
Ferula Galbaniflua (Galbanum) Resin Oil,1,1,1,1,1
Eucalyptus Globulus Leaf Extract,6,4,4,6,4
Lavandula Angustifolia (Lavender) Flower/Leaf/Stem Extract,6,6,7,6,5
Melaleuca Alternifolia (Tea Tree) Leaf Extract,2,2,2,2,2
Melissa Officinalis Leaf (Green Tea) Extract,1,1,1,1,1
Mentha Piperita(Peppermint) Leaf Extract,1,1,1,1,1
Mentha Rotundifolia Leaf Extract,2,2,2,2,2
Mentha Spicata Flower/Leaf/Stem Extract,1,1,1,1,1
Origanum Majorana Leaf Extract,2,2,2,1,2
Origanum Vulgare Leaf Extract,1,1,1,1,1
Pelargonium Graveolens Extract,1,1,1,1,1
Thymus Vulgaris (Thyme) Leaf Extract,1,1,1,1,1
Decyl Glucoside,22,20,20,22,15
PPG-26-Buteth-26,10,8,10,9,7
Octanediol,1,1,1,1,1
Copaifera Officinalis (Balsam Copaiba) Resin,2,2,2,2,2
Protease,3,3,3,3,3
Isononyl Isononanoate,32,29,32,29,27
Sericin,6,6,6,3,6
Hydrolyzed Conchiolin Protein,1,1,1,0,1
Rubus Ellipticus Root Extract,1,1,1,0,1
Thymus Serpyllum Extract,3,3,3,0,3
Polyglyceryl-2 Triisostearate,3,3,3,2,3
Batyl Alcohol,7,7,7,6,4
Bis-Behenyl/Isostearyl/Phytosteryl Dimer Dilinoleyl Dimer Dilinoleate,1,1,1,0,1
Biosaccharide Gum-1,16,15,15,12,13
3-O-Ethyl Ascorbic Acid,12,13,13,12,12
Ammonium Acryloyldimethyltaurate/Beheneth-25 Methacrylate Crosspolymer,3,3,3,3,3
Hippophae Rhamnoides Extract,4,4,4,4,4
Lycium Barbarum Fruit Extract,6,4,6,6,5
Rosa Canina Fruit Extract,9,8,8,8,7
Camellia Japonica Flower Extract,3,3,3,3,3
Aroma/Flavor,4,4,4,4,4
Hyaluronic Acid,31,31,31,28,22
Vegetable Collagen,4,4,4,4,4
Benzyl Alcohol.,2,2,2,2,2
Phyllostachis Bambusoides Juice,9,8,9,4,8
Peg-10 Dimethicone,26,24,26,25,20
Arbutin,7,6,7,5,6
Lauryl Peg-9 Polydimethylsiloxyethyl Dimethicone,16,14,14,15,10
Acrylates/Ethylhexyl Acrylate/Dimethicone Methacrylate Copolymer,3,3,3,2,3
Aluminium Hydroxide,1,1,1,1,1
Isopropyl Palmitate,17,17,17,17,13
Polyglyceryl-3 Polyricinoleate,4,4,4,4,4
Acrylates/Stearyl Acrylate/Dimethicone Methacrylate Copolymer,2,2,2,2,2
Trimethylsiloxysilicate,10,10,10,10,9
Ethylhexyglycerin,1,1,1,1,1
Camillia Sinensis Leaf Extract,1,1,1,1,1
Iron Oxides (Ci 77492,3,3,3,3,3
Ci77499).,1,1,1,1,1
Ppg-2 Myristyl Ether Propionate,1,0,1,1,0
Peg-40 Stearate,9,8,9,8,6
Epilobium Angustifolium Extract,1,0,1,1,0
Methyl Glucose Sesquistearate,2,1,2,2,1
Pelargonium Graveolens (Geranium) Flower Oil,4,3,4,4,2
Dimethicone Crosspolymer,32,27,31,31,25
Peg-20 Methyl Glucose Sesquistearate,1,0,1,1,0
C12-15 Alkyl Ethylhexanoate,1,0,1,1,0
Centella Asiatica Leaf Water,3,3,3,3,3
Methyl Methacrylate Crosspolymer,25,19,24,25,15
Beeswax/Cire D'abeille,2,2,2,2,2
Diethylhexyl Carbonate,3,3,3,3,2
Pan-Thenol,1,1,1,1,1
Polyglyceryl-4 Diisostearate/Polyhydroxystearate/Sebacate,3,3,3,2,2
Dimethicone/Vinyl Dimethi- Cone Crosspolymer,1,1,1,1,1
Ethylene/Methacrylate Copolymer,1,1,1,1,1
Acrylates/Ammonium Methacrylate Copolymer,2,2,2,2,2
Acrylates/Dimethicone Copolymer,4,4,4,3,3
Hydrogen Dimethicone,9,6,9,8,7
Chromium Oxide Greens,4,4,4,4,4
Fragaria Vesca (Strawberry) Leaf Extract,1,1,1,1,1
Asiaticoside,6,6,6,6,6
Aden- Osine,1,1,1,1,1
Asiatic Acid,4,4,4,4,4
Madecassic Acid,3,3,3,3,3
Rosmarinus Officinalis (Rosemary) Leaf Oil,21,20,21,22,22
2- Hexanediol,3,3,3,3,2
